catasto,OMI,OMIk,OMId,fascia,zona,cod_prev,stato_prev,microzona
F257,F2570D33,MO00003001,"CAPOLUOGO - SANTA CATERINA, CROCETTA, VIALE GRAMSCI, EX MACELLO",D,D33,20,N,0
F257,F2570E10,MO00003004,CAPOLUOGO - QUARTIERE MODENA EST,E,E10,20,N,0
F258,F25800B1,RG00000267,MODICA BASSA,B,B1,21,N,0
F258,F25800C1,RG00000751,MODICA ALTA - PORZIONI DI MODICA BASSA - DENTE,C,C1,21,N,0
F258,F25800D1,RG00000754,AEREE A NORD DI MODICA ALTA,D,D1,21,N,0
F258,F25800D3,RG00001450,MODICA SORDA,D,D3,21,N,0
F258,F25800E1,RG00000278,SORDA-S.GIULIANO-BALATAZZA-MICHILICA-CAVAGUCCIARDO-PIRATO GRANDE-CAITINA-MONSERRATO-TREPPIEDI N-S,E,E1,20,N,3
F258,F25800E4,RG00000282,MARINA DI MODICA,E,E4,21,N,0
F258,F25800E5,RG00000283,MARINA MODICA-PUNTA REGILIONE-MAGANUCO-CIARCIOLO,E,E5,21,N,7
F258,F25800E6,RG00000284,S.ANTONINO-SCARDACUCCO-PIANO CECI-PARTINICA,E,E6,21,N,4
F258,F25800E7,RG00001070,FRAZIONE DI FRIGINTINI,E,E7,21,N,9
F258,F25800R1,RG00001156,ZONE AGRICOLE,R,R1,0,,0
F258,F25800R2,RG00001294,ZONE AGRICOLE EX NOTO,R,R2,0,,0
F259,F25900B1,FO00001206,CENTRO URBANO,B,B1,21,N,1
F259,F25900C1,FO00001207,SEMICENTRALE,C,C1,21,N,1
F259,F25900D1,FO00000337,PERIFERICA,D,D1,20,N,1
F259,F25900R1,FO00001156,"REG. AG. N. 2 - ZONA B - COLLINE DEL MONTONE E DEL BIDENTE: S. SAVINO, S. REPARATA, TUSSINO, S.M. IN MONTE, FREGIOLO",R,R1,101,,1
F260,F260000B,LO00000415,CENTRO,B,B,20,N,1
F260,F26000R1,LO00001055,RURALE,R,R1,102,,1
F261,F26100B3,NU00003757,CENTRO URBANO,B,B3,20,N,1
F261,F26100C1,NU00001542,STRADA MAGOMADAS-MODOLO -,C,C1,20,O,1
F261,F26100D1,NU00001543,ZONA SU MASTRU E FILIPPO,D,D1,20,O,1
F261,F26100E1,NU00001544,ZONA INDUSTRIALE -,E,E1,7,O,1
F261,F26100R1,NU00003446,"COLTURA INTENSIVA CHE INTERESSA L`INTERO TERRITORIO COMUNALE PREV.COLLINARE, LOC. SU FRASSU,MONTE ALVU,GIAGA,MUTTETIS,CANNEDU",R,R1,133,,1
F262,F26200B1,BA00000288,CENTRO STORICO,B,B1,21,N,1
F262,F26200B2,BA00000289,ADIACENZE CENTRO STORICO,B,B2,20,N,1
F262,F26200B3,BA00001031,VIA C. BATTISTI -VIA PER BARI - VIA PER BITRITTO,B,B3,20,N,2
F262,F26200D1,BA00000290,QUARTIERE PISCINA DEI PRETI,D,D1,20,N,2
F262,F26200D2,BA00000291,PORTO TORRES E ZONE LIMITROFE,D,D2,21,N,2
F262,F26200D3,BA00002055,VIALE DELLA REPUBBLICA,D,D3,20,N,2
F262,F26200D4,BA00002155,CAMPOLIETO- VILLAGGIO PARADISO,D,D4,1,N,2
F262,F26200E1,BA00000292,ZONA CECILIA,E,E1,21,N,4
F262,F26200E2,BA00000293,ZONA S.S. 96 - S.S. 98,E,E2,8,N,2
F262,F26200E3,BA00001032,ZONA INDUSTRIALE - VIC. MACCHIA LAMPONE - VIA PER PALESE - S.S. 96 - PROV. BARI-GRUMO,E,E3,8,N,3
F262,F26200E4,BA00001033,"VIA PER BITETTO - CONTRADE BAVOTTA, MACCHIA FRACIDA, PETRARO E CONELLA",E,E4,8,N,5
F262,F26200E5,BA00001034,ZONA ARTIGIANALE INDUSTRIALE,E,E5,8,N,6
F262,F26200E6,BA00002874,CAMPOLIETO-VILLAGGIO PARADISO,E,E6,1,N,2
F262,F26200R1,BA00001400,ZONA AGRICOLA,R,R1,136,,5
F263,F26300B1,TN00000679,CENTRO ABITATO E SOMEDA,B,B1,20,O,1
F263,F26300D1,TN00000680,ABITATI DELLE FRAZIONI DI FORNO E S.PELLEGRINO,D,D1,20,O,2
F263,F26300D2,TN00002803,ZONA PRODUTTIVA,D,D2,7,N,0
F263,F26300E1,TN00002622,SORTE,E,E1,20,N,1
F263,F26300E2,TN00002802,FORNO,E,E2,20,N,0
F263,F26300R1,TN00002320,ZONA RURALE,R,R1,238,,1
F265,F26500B2,LC00002672,CENTRO EDIFICATO,B,B2,20,N,1
F265,F26500R1,LC00003059,ZONA RURALE,R,R1,197,,1
F266,F26600B1,UD00000482,ZONA CENTRALE,B,B1,21,N,1
F266,F26600D1,UD00000483,"FR. CAMPIOLO, OVEDASSO E DELLA VAL AUPA SERVITE DA INFRASTRUTTURE",D,D1,20,N,2
F266,F26600D2,UD00001096,ZONA DI MEDIA ED ALTA MONTAGNA,D,D2,20,N,3
F266,F26600R1,UD00003032,RESTO DEL TERRITORIO COMUNALE,R,R1,199,,1
F267,F26700B1,MN00000290,MOGLIA,B,B1,20,N,1
F267,F26700E2,MN00001080,BONDANELLO,E,E2,21,N,1
F267,F26700R1,MN00001081,ZONA AGRICOLA E FRAZIONI,R,R1,0,,1
F268,F26800B1,MC00000542,CENTRO STORICO DELIMITATO DALLE MURA URBICHE,B,B1,20,N,1
F268,F26800C1,MC00000544,"VIALE XX SETTEMBRE,VIA DE GASPERI,VIA MATTEOTTI,VIA MORO,VIA MURRI,VIA ASCENSIONE,VIA SANTUARIO,VIA D",C,C1,20,N,2
F268,F26800D1,MC00001688,"VIALE XX SETTEMBRE,VIA DE GASPERI,VIA MATTEOTTI,VIA MORO,VIA XXV APRILE, CONTRADA FONTANELLE, FONTE SCHIAVA, VIA DELLA REPUBBLICA",D,D1,20,N,2
F268,F26800R1,MC00001554,"ZONA RURALE (LOCALITA MACINA,S.GRISOGONO,SANTA COLOMBA,ECC)",R,R1,101,,3
F269,F26900B1,TV00002008,CENTRALE,B,B1,20,N,1
F269,F26900B2,TV00002007,CENTRALE PREGIATA,B,B2,20,N,1
F269,F26900C1,TV00000319,SEMICENTRALE,C,C1,20,N,1
F269,F26900D1,TV00000320,PERIFERICA,D,D1,20,N,1
F269,F26900E1,TV00002927,FRAZIONE CAMPOCROCE,E,E1,20,O,0
F269,F26900E2,TV00002928,FRAZIONE ZERMAN,E,E2,20,O,0
F269,F26900R1,TV00002929,"ZONA AGRICOLA, BORGHI RURALI E CASE SPARSE.",R,R1,101,,0
F270,F27000B1,OR00001001,CENTRO EDIFICATO.,B,B1,20,N,1
F270,F27000R1,OR00001822,AGRO,R,R1,101,,1
F271,F27100B1,OR00001044,CENTRO EDIFICATO.,B,B1,20,N,1
F271,F27100R1,OR00001841,AGRO,R,R1,101,,1
F272,F27200B1,OR00001061,CENTRO EDIFICATO.,B,B1,20,N,1
F272,F27200R1,OR00001866,AGRO,R,R1,101,,1
F274,F27400B1,BN00000246,INTERO TERRITORIO COMUNALE,B,B1,20,N,1
F274,F27400B2,BN00001071,"ZONA CENTRALE - VIA ROMA, VIA CRISCI, PIAZZA UMBERTO I",B,B2,20,N,0
F274,F27400D2,BN00001390,"ZONA URBANA SEMICENTRALE - LUZZANO, VIA SAN VITO",D,D2,20,N,0
F274,F27400R1,BN00001299,"ZONA AGRICOLA - CONTRADA MONTICELLO, CONTRADA PORRETTA",R,R1,129,,0
F275,F27500B1,UD00000489,ZONA CENTRALE,B,B1,20,N,1
F275,F27500D1,UD00000490,ZONA PERIFERICA,D,D1,20,N,1
F275,F27500R1,UD00002958,RESTO DEL TERRITORIO COMUNALE,R,R1,101,,1
F276,F27600B1,BG00001070,CENTRO URBANO,B,B1,20,N,0
F276,F27600R1,BG00002306,RESTANTE PARTE DEL TERRITORIO COMUNALE,R,R1,0,,0
F277,F27700B1,ME00000462,CENTRO URBANO,B,B1,20,N,1
F277,F27700D1,ME00000463,AREA ESTERNA AL CENTRO ABITATO,D,D1,20,N,2
F277,F27700R1,ME00002180,CASA CASOTTE. PASSO MOIO,R,R1,149,,1
F278,F27800B1,SA00001436,CENTRO URBANO,B,B1,21,N,0
F278,F27800D1,SA00001434,"VIE MOLINELLE, CHIESA GRANDE, S.ELENA, RETARA, SERRA, STROVIERO, DI MONTEMAGLIANO, CHIUSA DEL GIUDICE, CONTR. VETRALI, CONTR. SCAZ",D,D1,20,O,1
F278,F27800E1,SA00003413,"VIA PORTELLA, VIA CAPO BIANCO, VIA SAMBUCI, VIA MUNICIPIO",E,E1,20,O,1
F278,F27800R1,SA00003414,RESTANTE PARTE DEL TERRITORIO COMUNALE,R,R1,0,,0
F278,F27800R2,SA00003415,COLTURA IN MONTAGNA,R,R2,199,,1
F279,F27900B1,CN00002781,CENTRO URBANO,B,B1,1,N,1
F279,F27900R1,CN00007524,ZONE AGRICOLE DEL TERRITORIO COMUNALE,R,R1,197,,2
F280,F28000B1,BA00000299,CENTRO VECCHIO E ADIACENZE,B,B1,21,N,1
F280,F28000C1,BA00002374,"ZONA COMPLESSO VIALE P.D.PESCE-ZONA VIA DE GASPERI-VIALE LIBERTA`- VIA DEL FRASCINARO, VIA REG. MARGHERITA,MAZZINI",C,C1,20,N,1
F280,F28000D1,BA00000300,"MASTRO FABRIZIO-COZZETTO-VIA DON TONINO BELLO-VIA RUTIGLIANO-VIA FLEMING-VIA CONVERSANO-ZONA CIMITERO,STRADA STATALE 16.",D,D1,20,N,1
F280,F28000E1,BA00000301,"LITORANEA-OVEST DI MOLA-(LOC), PROLUNGAMENTO VIALE EUROPA.",E,E1,1,N,2
F280,F28000E2,BA00001519,ADIACENZE PERIFERIA,E,E2,21,N,1
F280,F28000E3,BA00000989,CUPONE-PADOVANE-NARDUCCI,E,E3,21,N,2
F280,F28000E4,BA00000990,"LOCALITA COZZE-CALARENA-S.ANGELO-BELLANTUONO-C.DANIELE, STRADA STATALE 16 ADRIATICA DIREZIONE COZZE",E,E4,1,N,3
F280,F28000E5,BA00000991,LOC.SANTANGELO,E,E5,1,N,3
F280,F28000E6,BA00000992,RUTIGLIANO MOLA-ZONA SAN MATERNO-LOC. MANCINI-TITOLO-GUGLIELMINO,E,E6,1,N,4
F280,F28000E7,BA00000993,LOC.MANCINI-TITOLO-GUGLIELMINO-(LOC),E,E7,1,N,4
F280,F28000E8,BA00000995,ZONA AGRICOLA: - CONTRADA SAN GIOVANNI,E,E8,21,N,5
F280,F28000R1,BA00001785,UNICA,R,R1,0,,5
F281,F28100B1,AL00001431,CENTRO URBANO,B,B1,20,N,0
F281,F28100C1,AL00003332,ZONA DI ESPANSIONE,C,C1,20,N,1
F281,F28100D1,AL00004396,ZONA COLLINARE SUD TERRITORIO COMUNALE,D,D1,20,N,1
F281,F28100R1,AL00004256,ZONA AGRICOLA,R,R1,129,,2
F283,F28300B1,LU00000096,"CAPOLUOGO - COLLETTO - PROMIANO - RIO - CASELLA - TERMINA,CASA DEL REGOLO",B,B1,21,N,1
F283,F28300E1,LU00000588,BRUCCIANO -,E,E1,21,N,1
F283,F28300E2,LU00000589,EGLIO - SASSI - MONTE PERPOLI - MONTE ALTISSIMO - CASCIO -,E,E2,21,N,1
F283,F28300R1,LU00000439,"EGLIO,SASSI, MONTALTISSIMO,CASCIO,BRUCCIANO,CANTOBACCI,VIZZANO,CA`SERAFINO",R,R1,0,,1
F284,F28400B1,BA00000313,CENTRO STORICO,B,B1,21,N,1
F284,F28400B2,BA00002294,CENTRO,B,B2,21,N,1
F284,F28400C1,BA00002314,PONENTE-RIONE MADONNA DEI MARTIRI,C,C1,21,N,1
F284,F28400C2,BA00002315,LEVANTE-VILLAGGIO BELGIOVINE,C,C2,21,N,1
F284,F28400C3,BA00002316,VIA RUVO-RIONE PARADISO-POGGIOFIORITO,C,C3,21,N,1
F284,F28400D1,BA00000314,"S.S. 16 BIS ZONA-INDUSTRIALE, VIC.LE COPPE-CHIUSO TERRANA-PALOMBARO-SCORBETO",D,D1,8,N,2
F284,F28400D2,BA00002354,ZONA 167-MADONNA DELLE ROSE-BERLINGUER,D,D2,20,N,1
F284,F28400E1,BA00000929,S.P. PER TERLIZZI-S.P. PER BITONTO-PISCINA DI SONZ-S. LEONARDO-VIA CARRARE,E,E1,1,N,3
F284,F28400R1,BA00001634,TERRENI AGRICOLI,R,R1,136,,3
F286,F28600B1,TN00000978,CENTRO ABITATO,B,B1,20,N,1
F286,F28600E1,TN00001885,ZONA PRODUTTIVA,E,E1,8,N,1
F286,F28600R1,TN00001886,ZONA  RURALE,R,R1,108,,1
F287,F28700B1,BN00000251,CENTRO E ZONA  DI ESPANSIONE,B,B1,20,N,1
F287,F28700D1,BN00000252,ZONA AGRICOLA,D,D1,20,N,2
F287,F28700R1,BN00001307,ZONA AGRICOLA,R,R1,102,,0
F288,F28800B1,BO00000905,CAPOLUOGO,B,B1,21,N,1
F288,F28800D1,BO00000908,FRAZ. DI S. MARTINO IN ARGINE,D,D1,20,N,2
F288,F28800D2,BO00000901,FRAZ. DI SAN PIETRO CAPOFIUME,D,D2,20,N,3
F288,F28800D3,BO00002146,ZONA AGRICOLA - COMPRENDE LE FRAZ. DI MARMORTA - GUARDA - SELVA E MIRAVALLE,D,D3,20,N,4
F288,F28800E1,BO00003048,FRAZIONE DI SAN PIETRO CAPOFIUME,E,E1,21,N,0
F288,F28800E2,BO00003047,FRAZIONE DI SAN MARTINO IN ARGINE,E,E2,21,N,0
F288,F28800R1,BO00003046,"ZONA AGRICOLA COMPRENDE LE FRAZIONI DI MARMORTA, GUARDA, SELVA E MIRAVALLE",R,R1,0,,0
F290,F29000B1,IM00000499,CENTRO URBANO,B,B1,21,N,1
F290,F29000D1,IM00000500,INSEDIAMENTI SPARSI DELLA VALLE ARGENTINA,D,D1,1,N,1
F290,F29000R1,IM00001374,RURALE - REGIONE AGRARIA N 2 (ALTE VALLI ARGENTINA E NERVIA),R,R1,0,,1
F293,F29300B1,AL00001455,CENTRO URBANO,B,B1,20,N,1
F293,F29300D1,AL00001451,BORGATE,D,D1,20,N,1
F293,F29300R1,AL00004257,ZONA AGRICOLA,R,R1,101,,1
F294,F29400B1,CB00000174,CENTRO URBANO,B,B1,21,N,1
F294,F29400R2,CB00001499,RESTANTE PARTE DEL TERRITORIO COMUNALE,R,R2,101,,0
F295,F295000R,PZ00001534,"ZONA AGRICOLA - C.DA S. NICOLA, C.DA RISICARDA, C.DA PIANO DI MAGLIA",R,R,0,,3
F295,F29500B1,PZ00000552,CENTRO STORICO - VIA PETRUCCELLI - VIA MAZZINI - VIA CARMINE - VIA CALCARA - CALATA CHIESA,B,B1,21,N,1
F295,F29500D1,PZ00000553,VIA MORO - VIA SCIAVIOLA - C.DA LA ROSSA - C.DA SPINETA - P.ZZA DELLA IMMACOLATA,D,D1,20,N,2
F297,F29700B1,VC00000931,CENTRALE,B,B1,21,N,1
F297,F29700D1,VC00000461,PERIFERICA,D,D1,20,N,2
F297,F29700E1,VC00000932,SUBURBANA,E,E1,20,N,3
F297,F29700E2,VC00000933,SUBURBANA,E,E2,1,N,4
F297,F29700R1,VC00001316,AGRICOLA,R,R1,0,,4
F299,F29900B1,AG00000240,P.ITALIA-V.ROMA-COLOMBO-4 NOV. -LA PORTA-VENETO-24 MAGG.DANTE-NUVOLARI-MARULLO-INCLIMA-MARCONI-VARESE-GIBILARO-BURGIO-GENUARDI-LIN,B,B1,20,N,0
